Seed,K,Gamma,GlobalFC
19,1.5,1.25,0.6837
19,1.5,1.5,0.6472
19,1.5,1.75,0.6184
19,1.75,0.25,0.965
19,1.75,0.5,0.8879
19,1.75,0.75,0.8121
19,1.75,1,0.752
19,1.75,1.25,0.7052
19,1.75,1.5,0.6684
19,1.75,1.75,0.6391
