Seed,K,Gamma,GlobalFC
3,1.75,1.5,0.6805
3,1.75,1.75,0.6513
4,0.25,0.25,0.794
4,0.25,0.5,0.6249
4,0.25,0.75,0.5304
4,0.25,1,0.4849
4,0.25,1.25,0.4577
4,0.25,1.5,0.4389
4,0.25,1.75,0.437
4,0.5,0.25,0.8879
4,0.5,0.5,0.7312
4,0.5,0.75,0.6324
4,0.5,1,0.57
4,0.5,1.25,0.5287
4,0.5,1.5,0.5023
4,0.5,1.75,0.4887
4,0.75,0.25,0.9249
4,0.75,0.5,0.7871
4,0.75,0.75,0.6905
4,0.75,1,0.6251
4,0.75,1.25,0.5801
4,0.75,1.5,0.5489
4,0.75,1.75,0.5282
4,1,0.25,0.945
4,1,0.5,0.8248
4,1,0.75,0.731
4,1,1,0.6648
4,1,1.25,0.6177
4,1,1.5,0.5839
4,1,1.75,0.5596
4,1.25,0.25,0.957
4,1.25,0.5,0.8535
4,1.25,0.75,0.7631
4,1.25,1,0.6966
4,1.25,1.25,0.6481
4,1.25,1.5,0.6123
4,1.25,1.75,0.5857
4,1.5,0.25,0.9643
4,1.5,0.5,0.8761
4,1.5,0.75,0.7899
4,1.5,1,0.7237
4,1.5,1.25,0.6742
4,1.5,1.5,0.6368
4,1.5,1.75,0.6084
4,1.75,0.25,0.9688
4,1.75,0.5,0.8944
4,1.75,0.75,0.8129
4,1.75,1,0.7475
4,1.75,1.25,0.6973
4,1.75,1.5,0.6587
4,1.75,1.75,0.6289
5,0.25,0.25,0.804
5,0.25,0.5,0.6385
5,0.25,0.75,0.5307
5,0.25,1,0.5822
5,0.25,1.25,0.6119
5,0.25,1.5,0.5098
5,0.25,1.75,0.4542
5,0.5,0.25,0.8874
5,0.5,0.5,0.7394
5,0.5,0.75,0.6464
5,0.5,1,0.6115
5,0.5,1.25,0.5949
5,0.5,1.5,0.5631
5,0.5,1.75,0.5307
5,0.75,0.25,0.9207
5,0.75,0.5,0.7919
5,0.75,0.75,0.7032
5,0.75,1,0.6507
5,0.75,1.25,0.6198
5,0.75,1.5,0.5947
5,0.75,1.75,0.5726
5,1,0.25,0.9397
5,1,0.5,0.8261
5,1,0.75,0.7402
5,1,1,0.6831
5,1,1.25,0.6457
5,1,1.5,0.6193
5,1,1.75,0.5989
5,1.25,0.25,0.9515
5,1.25,0.5,0.8518
5,1.25,0.75,0.7688
5,1.25,1,0.71
5,1.25,1.25,0.6693
5,1.25,1.5,0.6405
5,1.25,1.75,0.6192
5,1.5,0.25,0.959
5,1.5,0.5,0.8725
5,1.5,0.75,0.7926
5,1.5,1,0.7333
5,1.5,1.25,0.6905
5,1.5,1.5,0.6596
5,1.5,1.75,0.6366
5,1.75,0.25,0.9639
5,1.75,0.5,0.8894
5,1.75,0.75,0.8131
5,1.75,1,0.7539
5,1.75,1.25,0.7098
5,1.75,1.5,0.6771
5,1.75,1.75,0.6526
6,0.25,0.25,0.8133
6,0.25,0.5,0.6298
6,0.25,0.75,0.5347
6,0.25,1,0.5497
6,0.25,1.25,0.5396
6,0.25,1.5,0.4724
6,0.25,1.75,0.4751
